id,value,room,order,order_common,family,family_common
house.basement.Thysanoptera (thrips).Phlaeothripidae (tube tailed thrips),1,basement,Thysanoptera,thrips,Phlaeothripidae,tube tailed thrips
house.basement.Thysanoptera (thrips).Un ID family,2,basement,Thysanoptera,thrips,Un ID family,
house.basement.Zygentoma (silverfish),,basement,Zygentoma,silverfish,,
house.basement.Zygentoma (silverfish).Lepismatidae (silverfish),2,basement,Zygentoma,silverfish,Lepismatidae,silverfish
house.bath,,bath,,,,
"house.bath.Acari (mites, ticks)",,bath,Acari,"mites, ticks",,
"house.bath.Acari (mites, ticks).Ixodidae (hard ticks)",1,bath,Acari,"mites, ticks",Ixodidae,hard ticks
"house.bath.Acari (mites, ticks).Oribatida (moss mites)",2,bath,Acari,"mites, ticks",Oribatida,moss mites
"house.bath.Acari (mites, ticks).Un ID family",4,bath,Acari,"mites, ticks",Un ID family,
house.bath.Araneae (spiders),,bath,Araneae,spiders,,
house.bath.Araneae (spiders).Agelenidae (funnel weavers),3,bath,Araneae,spiders,Agelenidae,funnel weavers
house.bath.Araneae (spiders).Anyphaenidae (ghost spiders),1,bath,Araneae,spiders,Anyphaenidae,ghost spiders
house.bath.Araneae (spiders).Araneidae (orb weavers),2,bath,Araneae,spiders,Araneidae,orb weavers
"house.bath.Araneae (spiders).Corinnidae (antmimics, ground spiders)",2,bath,Araneae,spiders,Corinnidae,"antmimics, ground spiders"
house.bath.Araneae (spiders).Ctenidae (wandering spiders),1,bath,Araneae,spiders,Ctenidae,wandering spiders
house.bath.Araneae (spiders).Filistatidae (crevice weavers),1,bath,Araneae,spiders,Filistatidae,crevice weavers
house.bath.Araneae (spiders).Gnaphosidae (ground spiders),5,bath,Araneae,spiders,Gnaphosidae,ground spiders
house.bath.Araneae (spiders).Lycosidae (wolf spiders),4,bath,Araneae,spiders,Lycosidae,wolf spiders
house.bath.Araneae (spiders).Mimetidae (pirate spiders),1,bath,Araneae,spiders,Mimetidae,pirate spiders
house.bath.Araneae (spiders).Oecobiidae (wall spiders),9,bath,Araneae,spiders,Oecobiidae,wall spiders
house.bath.Araneae (spiders).Oonopidae (goblin spiders),3,bath,Araneae,spiders,Oonopidae,goblin spiders
house.bath.Araneae (spiders).Oxyopidae (Lynx spiders),2,bath,Araneae,spiders,Oxyopidae,Lynx spiders
house.bath.Araneae (spiders).Pholcidae (cellar spiders),30,bath,Araneae,spiders,Pholcidae,cellar spiders
house.bath.Araneae (spiders).Salticidae (jumping spider),4,bath,Araneae,spiders,Salticidae,jumping spider
house.bath.Araneae (spiders).Scytodidae (spitting spider),5,bath,Araneae,spiders,Scytodidae,spitting spider
house.bath.Araneae (spiders).Theridiidae (cobweb spiders),126,bath,Araneae,spiders,Theridiidae,cobweb spiders
house.bath.Araneae (spiders).Un ID family,4,bath,Araneae,spiders,Un ID family,
house.bath.Blattodea (cockroaches),,bath,Blattodea,cockroaches,,
house.bath.Blattodea (cockroaches).Blattellidae (cockroaches),3,bath,Blattodea,cockroaches,Blattellidae,cockroaches
house.bath.Blattodea (cockroaches).Blattidae (cockroaches),20,bath,Blattodea,cockroaches,Blattidae,cockroaches
house.bath.Coleoptera (beetles),,bath,Coleoptera,beetles,,
house.bath.Coleoptera (beetles).Aderidae (antlike leaf beetles),1,bath,Coleoptera,beetles,Aderidae,antlike leaf beetles
house.bath.Coleoptera (beetles).Anobiidae (death watch beetles),9,bath,Coleoptera,beetles,Anobiidae,death watch beetles
house.bath.Coleoptera (beetles).Anthicidae (antlike flower beetles),1,bath,Coleoptera,beetles,Anthicidae,antlike flower beetles
house.bath.Coleoptera (beetles).Carabidae (ground beetles),11,bath,Coleoptera,beetles,Carabidae,ground beetles
house.bath.Coleoptera (beetles).Cerambycidae (longhorned beetles),1,bath,Coleoptera,beetles,Cerambycidae,longhorned beetles
house.bath.Coleoptera (beetles).Chrysomelidae (leaf beetles),2,bath,Coleoptera,beetles,Chrysomelidae,leaf beetles
house.bath.Coleoptera (beetles).Cleridae (checkered beetles),2,bath,Coleoptera,beetles,Cleridae,checkered beetles
house.bath.Coleoptera (beetles).Coccinellidae (ladybugs),1,bath,Coleoptera,beetles,Coccinellidae,ladybugs
house.bath.Coleoptera (beetles).Curculionidae (snout & bark beetles),15,bath,Coleoptera,beetles,Curculionidae,snout & bark beetles
house.bath.Coleoptera (beetles).Dermestidae (carpet beetles),87,bath,Coleoptera,beetles,Dermestidae,carpet beetles
house.bath.Coleoptera (beetles).Elateridae (click beetles),14,bath,Coleoptera,beetles,Elateridae,click beetles
house.bath.Coleoptera (beetles).Histeridae (clown beetles),1,bath,Coleoptera,beetles,Histeridae,clown beetles
house.bath.Coleoptera (beetles).Laemophloeidae (lined flat bark beetles),2,bath,Coleoptera,beetles,Laemophloeidae,lined flat bark beetles
house.bath.Coleoptera (beetles).Latridiidae (minute brown scavenger beetles),2,bath,Coleoptera,beetles,Latridiidae,minute brown scavenger beetles
house.bath.Coleoptera (beetles).Melyridae (soft winged flower beetles),4,bath,Coleoptera,beetles,Melyridae,soft winged flower beetles
house.bath.Coleoptera (beetles).Mordellidae (tumbling flower beetles),1,bath,Coleoptera,beetles,Mordellidae,tumbling flower beetles
house.bath.Coleoptera (beetles).Ptilodactylidae (toe winged beetles),3,bath,Coleoptera,beetles,Ptilodactylidae,toe winged beetles
house.bath.Coleoptera (beetles).Scarabaeidae (scarab beetles),8,bath,Coleoptera,beetles,Scarabaeidae,scarab beetles
house.bath.Coleoptera (beetles).Scraptiidae (false flower beetles),1,bath,Coleoptera,beetles,Scraptiidae,false flower beetles
house.bath.Coleoptera (beetles).Silvanidae (flat bark beetles),4,bath,Coleoptera,beetles,Silvanidae,flat bark beetles
house.bath.Coleoptera (beetles).Staphylinidae (rove beetles),7,bath,Coleoptera,beetles,Staphylinidae,rove beetles
house.bath.Coleoptera (beetles).Tenebrionidae (darkling beetles),9,bath,Coleoptera,beetles,Tenebrionidae,darkling beetles
house.bath.Coleoptera (beetles).Tetratomidae (polypore fungus beetles),1,bath,Coleoptera,beetles,Tetratomidae,polypore fungus beetles
house.bath.Coleoptera (beetles).Throscidae (false metallic wood boring beetles),1,bath,Coleoptera,beetles,Throscidae,false metallic wood boring beetles
house.bath.Coleoptera (beetles).Trogossitidae (bark gnawing beetles),1,bath,Coleoptera,beetles,Trogossitidae,bark gnawing beetles
house.bath.Coleoptera (beetles).Un ID family,1,bath,Coleoptera,beetles,Un ID family,
house.bath.Collembola (springtails),,bath,Collembola,springtails,,
house.bath.Collembola (springtails).Entomobryidae (slender springtails),27,bath,Collembola,springtails,Entomobryidae,slender springtails
house.bath.Collembola (springtails).Hypogastruridae (springtails),2,bath,Collembola,springtails,Hypogastruridae,springtails
house.bath.Collembola (springtails).Isotomidae (elongate springtails),1,bath,Collembola,springtails,Isotomidae,elongate springtails
house.bath.Collembola (springtails).Tomoceridae (elongate bodied springtails),1,bath,Collembola,springtails,Tomoceridae,elongate bodied springtails
house.bath.Dermaptera (earwigs),,bath,Dermaptera,earwigs,,
house.bath.Dermaptera (earwigs).Anisolabididae (earwigs),4,bath,Dermaptera,earwigs,Anisolabididae,earwigs
house.bath.Dermaptera (earwigs).Forficulidae (earwigs),2,bath,Dermaptera,earwigs,Forficulidae,earwigs
house.bath.Dermaptera (earwigs).Spongiphoridae (little earwigs),1,bath,Dermaptera,earwigs,Spongiphoridae,little earwigs
house.bath.Diptera (flies),,bath,Diptera,flies,,
house.bath.Diptera (flies).Agromyzidae (leaf miner flies),1,bath,Diptera,flies,Agromyzidae,leaf miner flies
"house.bath.Diptera (flies).Bibionidae (march flies, lovebugs)",1,bath,Diptera,flies,Bibionidae,"march flies, lovebugs"
house.bath.Diptera (flies).Calliphoridae (blow flies),6,bath,Diptera,flies,Calliphoridae,blow flies
house.bath.Diptera (flies).Cecidomyiidae (gall midges),82,bath,Diptera,flies,Cecidomyiidae,gall midges
house.bath.Diptera (flies).Ceratopogonidae (biting midges),5,bath,Diptera,flies,Ceratopogonidae,biting midges
house.bath.Diptera (flies).Chaoboridae (phantom midges),6,bath,Diptera,flies,Chaoboridae,phantom midges
house.bath.Diptera (flies).Chironomidae (non biting midges),26,bath,Diptera,flies,Chironomidae,non biting midges
house.bath.Diptera (flies).Chloropidae (frit flies),5,bath,Diptera,flies,Chloropidae,frit flies
house.bath.Diptera (flies).Culicidae (mosquitoes),14,bath,Diptera,flies,Culicidae,mosquitoes
house.bath.Diptera (flies).Dolichopodidae (longlegged flies),4,bath,Diptera,flies,Dolichopodidae,longlegged flies
"house.bath.Diptera (flies).Drosophilidae (fruit flies, vinegar flies)",12,bath,Diptera,flies,Drosophilidae,"fruit flies, vinegar flies"
house.bath.Diptera (flies).Empididae (dance flies),1,bath,Diptera,flies,Empididae,dance flies
house.bath.Diptera (flies).Ephydridae (shore flies),2,bath,Diptera,flies,Ephydridae,shore flies
house.bath.Diptera (flies).Fanniidae (Calyptrate flies),1,bath,Diptera,flies,Fanniidae,Calyptrate flies
house.bath.Diptera (flies).Lauxaniidae (acalyptrate flies),1,bath,Diptera,flies,Lauxaniidae,acalyptrate flies
house.bath.Diptera (flies).Milichiidae (freeloader flies),1,bath,Diptera,flies,Milichiidae,freeloader flies
house.bath.Diptera (flies).Muscidae (house flies),2,bath,Diptera,flies,Muscidae,house flies
house.bath.Diptera (flies).Mycetophilidae (fungus gnats),18,bath,Diptera,flies,Mycetophilidae,fungus gnats
house.bath.Diptera (flies).Phoridae (scuttle flies),18,bath,Diptera,flies,Phoridae,scuttle flies
house.bath.Diptera (flies).Psychodidae (sand & moth flies),22,bath,Diptera,flies,Psychodidae,sand & moth flies
house.bath.Diptera (flies).Rhinophoridae (woodlouse flies),1,bath,Diptera,flies,Rhinophoridae,woodlouse flies
house.bath.Diptera (flies).Sarcophagidae (flesh flies),4,bath,Diptera,flies,Sarcophagidae,flesh flies
house.bath.Diptera (flies).Scatopsidae (minute black scavenger flies),8,bath,Diptera,flies,Scatopsidae,minute black scavenger flies
house.bath.Diptera (flies).Sciaridae (dark winged fungus gnats),93,bath,Diptera,flies,Sciaridae,dark winged fungus gnats
house.bath.Diptera (flies).Sepsidae (black scavenger flies),1,bath,Diptera,flies,Sepsidae,black scavenger flies
house.bath.Diptera (flies).Sphaeroceridae (lesser dung flies),3,bath,Diptera,flies,Sphaeroceridae,lesser dung flies
house.bath.Diptera (flies).Stratiomyidae (soldier flies),1,bath,Diptera,flies,Stratiomyidae,soldier flies
house.bath.Diptera (flies).Tipulidae (large crane flies),22,bath,Diptera,flies,Tipulidae,large crane flies
house.bath.Diptera (flies).Trichoceridae (winter crane flies),3,bath,Diptera,flies,Trichoceridae,winter crane flies
house.bath.Diptera (flies).Un ID family,3,bath,Diptera,flies,Un ID family,
house.bath.Hemiptera (true bugs),,bath,Hemiptera,true bugs,,
house.bath.Hemiptera (true bugs).Aleyrodidae (whiteflies),1,bath,Hemiptera,true bugs,Aleyrodidae,whiteflies
house.bath.Hemiptera (true bugs).Anthocoridae (minute pirate bugs),4,bath,Hemiptera,true bugs,Anthocoridae,minute pirate bugs
house.bath.Hemiptera (true bugs).Aphididae (aphids),2,bath,Hemiptera,true bugs,Aphididae,aphids
house.bath.Hemiptera (true bugs).Cicadellidae (leafhoppers),23,bath,Hemiptera,true bugs,Cicadellidae,leafhoppers
"house.bath.Hemiptera (true bugs).Coccoidea (scales, mealybugs)",1,bath,Hemiptera,true bugs,Coccoidea,"scales, mealybugs"
house.bath.Hemiptera (true bugs).Cydnidae (burrowing bugs),2,bath,Hemiptera,true bugs,Cydnidae,burrowing bugs
house.bath.Hemiptera (true bugs).Delphacidae (Delphacid planthoppers),3,bath,Hemiptera,true bugs,Delphacidae,Delphacid planthoppers
house.bath.Hemiptera (true bugs).Derbidae (derbid planthopppers),1,bath,Hemiptera,true bugs,Derbidae,derbid planthopppers
house.bath.Hemiptera (true bugs).Flatidae (flatid planthoppers),1,bath,Hemiptera,true bugs,Flatidae,flatid planthoppers
house.bath.Hemiptera (true bugs).Lasiochilidae (minute pirate bugs),1,bath,Hemiptera,true bugs,Lasiochilidae,minute pirate bugs
house.bath.Hemiptera (true bugs).Lygaeidae (seed bugs),1,bath,Hemiptera,true bugs,Lygaeidae,seed bugs
house.bath.Hemiptera (true bugs).Miridae (plant bugs),4,bath,Hemiptera,true bugs,Miridae,plant bugs
house.bath.Hemiptera (true bugs).Phylloxeridae (plant parasitic hemipterans),1,bath,Hemiptera,true bugs,Phylloxeridae,plant parasitic hemipterans
house.bath.Hemiptera (true bugs).Psyllidae (jumping plant lice),1,bath,Hemiptera,true bugs,Psyllidae,jumping plant lice
house.bath.Hemiptera (true bugs).Rhyparochromidae (dirt colored seed bugs),7,bath,Hemiptera,true bugs,Rhyparochromidae,dirt colored seed bugs
house.bath.Hemiptera (true bugs).Tingidae (lace bugs),2,bath,Hemiptera,true bugs,Tingidae,lace bugs
"house.bath.Hymenoptera (bees, wasps, ants)",,bath,Hymenoptera,"bees, wasps, ants",,
"house.bath.Hymenoptera (bees, wasps, ants).Anthophila (Apoidea) (bees)",2,bath,Hymenoptera,"bees, wasps, ants",Anthophila,Apoidea
"house.bath.Hymenoptera (bees, wasps, ants).Apidae (bees)",1,bath,Hymenoptera,"bees, wasps, ants",Apidae,bees
"house.bath.Hymenoptera (bees, wasps, ants).Bethylidae (cuckoo wasps)",1,bath,Hymenoptera,"bees, wasps, ants",Bethylidae,cuckoo wasps
"house.bath.Hymenoptera (bees, wasps, ants).Braconidae (parasitoid wasps)",10,bath,Hymenoptera,"bees, wasps, ants",Braconidae,parasitoid wasps
"house.bath.Hymenoptera (bees, wasps, ants).Chalcididae (Chalcid wasps)",1,bath,Hymenoptera,"bees, wasps, ants",Chalcididae,Chalcid wasps
"house.bath.Hymenoptera (bees, wasps, ants).Eulophidae (chalcid wasps)",20,bath,Hymenoptera,"bees, wasps, ants",Eulophidae,chalcid wasps
"house.bath.Hymenoptera (bees, wasps, ants).Eupelmidae (chalcid wasps)",1,bath,Hymenoptera,"bees, wasps, ants",Eupelmidae,chalcid wasps
"house.bath.Hymenoptera (bees, wasps, ants).Formicidae (ants)",97,bath,Hymenoptera,"bees, wasps, ants",Formicidae,ants
"house.bath.Hymenoptera (bees, wasps, ants).Halictidae (sweat bees)",3,bath,Hymenoptera,"bees, wasps, ants",Halictidae,sweat bees
"house.bath.Hymenoptera (bees, wasps, ants).Ichneumonidae (scorpion wasps)",2,bath,Hymenoptera,"bees, wasps, ants",Ichneumonidae,scorpion wasps
"house.bath.Hymenoptera (bees, wasps, ants).Mutillidae (velvet ants)",2,bath,Hymenoptera,"bees, wasps, ants",Mutillidae,velvet ants
"house.bath.Hymenoptera (bees, wasps, ants).Mymaridae (fairyflies)",1,bath,Hymenoptera,"bees, wasps, ants",Mymaridae,fairyflies
"house.bath.Hymenoptera (bees, wasps, ants).Platygastridae (parasitic wasps)",10,bath,Hymenoptera,"bees, wasps, ants",Platygastridae,parasitic wasps
"house.bath.Hymenoptera (bees, wasps, ants).Platygastridae (parasitic wasps) (parasitoid wasps)",1,bath,Hymenoptera,"bees, wasps, ants",Platygastridae,parasitic wasps
"house.bath.Hymenoptera (bees, wasps, ants).Pompilidae (spider wasps)",4,bath,Hymenoptera,"bees, wasps, ants",Pompilidae,spider wasps
"house.bath.Hymenoptera (bees, wasps, ants).Pteromalidae (Pteromalid wasps)",3,bath,Hymenoptera,"bees, wasps, ants",Pteromalidae,Pteromalid wasps
"house.bath.Hymenoptera (bees, wasps, ants).Sphecidae (thread-waisted wasps)",4,bath,Hymenoptera,"bees, wasps, ants",Sphecidae,thread-waisted wasps
"house.bath.Hymenoptera (bees, wasps, ants).Xyelidae (saw flies)",1,bath,Hymenoptera,"bees, wasps, ants",Xyelidae,saw flies
"house.bath.Isopoda (woodlice, pillbugs, roly-poly's)",,bath,Isopoda,"woodlice, pillbugs, roly-poly's",,
"house.bath.Isopoda (woodlice, pillbugs, roly-poly's).Armadillidiidae (pillbugs)",23,bath,Isopoda,"woodlice, pillbugs, roly-poly's",Armadillidiidae,pillbugs
"house.bath.Isopoda (woodlice, pillbugs, roly-poly's).Porcellionidae (woodlice)",2,bath,Isopoda,"woodlice, pillbugs, roly-poly's",Porcellionidae,woodlice
"house.bath.Isopoda (woodlice, pillbugs, roly-poly's).Un ID family",2,bath,Isopoda,"woodlice, pillbugs, roly-poly's",Un ID family,
house.bath.Isoptera (termites),,bath,Isoptera,termites,,
house.bath.Isoptera (termites).Rhinotermitidae (subterranean termites),2,bath,Isoptera,termites,Rhinotermitidae,subterranean termites
house.bath.Julida (millipedes),,bath,Julida,millipedes,,
house.bath.Julida (millipedes).Julidae (millipedes),3,bath,Julida,millipedes,Julidae,millipedes
"house.bath.Lepidoptera (moths, butterflies)",,bath,Lepidoptera,"moths, butterflies",,
"house.bath.Lepidoptera (moths, butterflies).Geometridae (geometrid moths)",1,bath,Lepidoptera,"moths, butterflies",Geometridae,geometrid moths
"house.bath.Lepidoptera (moths, butterflies).Noctuidae (owlet moths)",8,bath,Lepidoptera,"moths, butterflies",Noctuidae,owlet moths
"house.bath.Lepidoptera (moths, butterflies).Pyralidae (pyralid moths)",8,bath,Lepidoptera,"moths, butterflies",Pyralidae,pyralid moths
"house.bath.Lepidoptera (moths, butterflies).Tineidae (clothes moths)",8,bath,Lepidoptera,"moths, butterflies",Tineidae,clothes moths
"house.bath.Lepidoptera (moths, butterflies).Tortricidae (leafroller moths)",1,bath,Lepidoptera,"moths, butterflies",Tortricidae,leafroller moths
"house.bath.Lepidoptera (moths, butterflies).Un ID family",1,bath,Lepidoptera,"moths, butterflies",Un ID family,
house.bath.Microcoryphia (bristletails),,bath,Microcoryphia,bristletails,,
house.bath.Microcoryphia (bristletails).Machilidae (jumping bristletails),2,bath,Microcoryphia,bristletails,Machilidae,jumping bristletails
house.bath.Microcoryphia (bristletails).Meinertellidae (rock bristletails),2,bath,Microcoryphia,bristletails,Meinertellidae,rock bristletails
house.bath.Neuroptera (lacewings),,bath,Neuroptera,lacewings,,
house.bath.Neuroptera (lacewings).Chrysopidae (green lacewings),2,bath,Neuroptera,lacewings,Chrysopidae,green lacewings
house.bath.Neuroptera (lacewings).Coniopterygidae (dustywings),1,bath,Neuroptera,lacewings,Coniopterygidae,dustywings
house.bath.Neuroptera (lacewings).Myrmeleontidae (ant lions),1,bath,Neuroptera,lacewings,Myrmeleontidae,ant lions
house.bath.No specimens,,bath,No specimens,,,
house.bath.No specimens.No specimens,0,bath,No specimens,,No specimens,
house.bath.Opiliones (harvestmen),,bath,Opiliones,harvestmen,,
house.bath.Opiliones (harvestmen).Un ID family,1,bath,Opiliones,harvestmen,Un ID family,
"house.bath.Orthoptera (grasshoppers, etc)",,bath,Orthoptera,"grasshoppers, etc",,
"house.bath.Orthoptera (grasshoppers, etc).Gryllidae (crickets)",3,bath,Orthoptera,"grasshoppers, etc",Gryllidae,crickets
"house.bath.Orthoptera (grasshoppers, etc).Rhaphidophoridae (camel crickets)",8,bath,Orthoptera,"grasshoppers, etc",Rhaphidophoridae,camel crickets
house.bath.Plecoptera (stoneflies),,bath,Plecoptera,stoneflies,,
house.bath.Plecoptera (stoneflies).Leuctridae (rolled-winged stoneflies),1,bath,Plecoptera,stoneflies,Leuctridae,rolled-winged stoneflies
house.bath.Polydesmida (flat-backed millipedes),,bath,Polydesmida,flat-backed millipedes,,
house.bath.Polydesmida (flat-backed millipedes).Paradoxosomatidae (millipedes),4,bath,Polydesmida,flat-backed millipedes,Paradoxosomatidae,millipedes
house.bath.Polydesmida (flat-backed millipedes).Polydesmidae (flat-backed millipedes),2,bath,Polydesmida,flat-backed millipedes,Polydesmidae,flat-backed millipedes
house.bath.Polydesmida (flat-backed millipedes).Un ID family,1,bath,Polydesmida,flat-backed millipedes,Un ID family,
house.bath.Pseudoscorpiones (pseudoscorpions),,bath,Pseudoscorpiones,pseudoscorpions,,
house.bath.Pseudoscorpiones (pseudoscorpions).Un ID family,1,bath,Pseudoscorpiones,pseudoscorpions,Un ID family,
"house.bath.Psocodea (barklice, booklice, parasitic lice)",,bath,Psocodea,"barklice, booklice, parasitic lice",,
"house.bath.Psocodea (barklice, booklice, parasitic lice).Lepidopsocidae (scaly winged barklice)",1,bath,Psocodea,"barklice, booklice, parasitic lice",Lepidopsocidae,scaly winged barklice
"house.bath.Psocodea (barklice, booklice, parasitic lice).Liposcelididae (booklice)",45,bath,Psocodea,"barklice, booklice, parasitic lice",Liposcelididae,booklice
"house.bath.Psocodea (barklice, booklice, parasitic lice).Myopsocidae (mouse-like barklice)",1,bath,Psocodea,"barklice, booklice, parasitic lice",Myopsocidae,mouse-like barklice
"house.bath.Psocodea (barklice, booklice, parasitic lice).Stenopsocidae (narrow barklice)",1,bath,Psocodea,"barklice, booklice, parasitic lice",Stenopsocidae,narrow barklice
"house.bath.Psocodea (barklice, booklice, parasitic lice).Un ID family",11,bath,Psocodea,"barklice, booklice, parasitic lice",Un ID family,
house.bath.Scolopendromorpha (tropical centipedes),,bath,Scolopendromorpha,tropical centipedes,,
house.bath.Scolopendromorpha (tropical centipedes).Scolopendridae (tropical centipedes),1,bath,Scolopendromorpha,tropical centipedes,Scolopendridae,tropical centipedes
house.bath.Scutigeromorpha (house centipedes),,bath,Scutigeromorpha,house centipedes,,
house.bath.Scutigeromorpha (house centipedes).Scutigeridae (house centipedes),6,bath,Scutigeromorpha,house centipedes,Scutigeridae,house centipedes
house.bath.Siphonaptera (fleas),,bath,Siphonaptera,fleas,,
house.bath.Siphonaptera (fleas).Pulicidae (fleas),4,bath,Siphonaptera,fleas,Pulicidae,fleas
house.bath.Spirobolida (round-backed millipedes),,bath,Spirobolida,round-backed millipedes,,
house.bath.Spirobolida (round-backed millipedes).Spirobolidae (round-backed millipedes),1,bath,Spirobolida,round-backed millipedes,Spirobolidae,round-backed millipedes
house.bath.Thysanoptera (thrips),,bath,Thysanoptera,thrips,,
house.bath.Thysanoptera (thrips).Phlaeothripidae (tube tailed thrips),1,bath,Thysanoptera,thrips,Phlaeothripidae,tube tailed thrips
house.bath.Thysanoptera (thrips).Thripidae (thrips),4,bath,Thysanoptera,thrips,Thripidae,thrips
house.bath.Trichoptera (caddisflies),,bath,Trichoptera,caddisflies,,
house.bath.Trichoptera (caddisflies).Un ID family,1,bath,Trichoptera,caddisflies,Un ID family,
house.bath.Zygentoma (silverfish),,bath,Zygentoma,silverfish,,
house.bath.Zygentoma (silverfish).Lepismatidae (silverfish),24,bath,Zygentoma,silverfish,Lepismatidae,silverfish
house.bed,,bed,,,,
"house.bed.Acari (mites, ticks)",,bed,Acari,"mites, ticks",,
"house.bed.Acari (mites, ticks).Erythraeidae (mites)",1,bed,Acari,"mites, ticks",Erythraeidae,mites
"house.bed.Acari (mites, ticks).Galumnidae (mites)",1,bed,Acari,"mites, ticks",Galumnidae,mites
"house.bed.Acari (mites, ticks).Ixodidae (hard ticks)",3,bed,Acari,"mites, ticks",Ixodidae,hard ticks
"house.bed.Acari (mites, ticks).Oribatida (moss mites)",7,bed,Acari,"mites, ticks",Oribatida,moss mites
"house.bed.Acari (mites, ticks).Plateremaeidae (ticks)",1,bed,Acari,"mites, ticks",Plateremaeidae,ticks
"house.bed.Acari (mites, ticks).Tetranychidae (spider mites)",3,bed,Acari,"mites, ticks",Tetranychidae,spider mites
"house.bed.Acari (mites, ticks).Trombidiidae (velvet mites)",1,bed,Acari,"mites, ticks",Trombidiidae,velvet mites
"house.bed.Acari (mites, ticks).Un ID family",21,bed,Acari,"mites, ticks",Un ID family,
house.bed.Araneae (spiders),,bed,Araneae,spiders,,
house.bed.Araneae (spiders).Agelenidae (funnel weavers),12,bed,Araneae,spiders,Agelenidae,funnel weavers
house.bed.Araneae (spiders).Anyphaenidae (ghost spiders),9,bed,Araneae,spiders,Anyphaenidae,ghost spiders
house.bed.Araneae (spiders).Araneidae (orb weavers),2,bed,Araneae,spiders,Araneidae,orb weavers
"house.bed.Araneae (spiders).Corinnidae (antmimics, ground spiders)",11,bed,Araneae,spiders,Corinnidae,"antmimics, ground spiders"
"house.bed.Araneae (spiders).Dysderidae (woodlouse hunters, cell spiders)",1,bed,Araneae,spiders,Dysderidae,"woodlouse hunters, cell spiders"
house.bed.Araneae (spiders).Gnaphosidae (ground spiders),17,bed,Araneae,spiders,Gnaphosidae,ground spiders
house.bed.Araneae (spiders).Linyphiidae (sheetweb & dwarf spiders),2,bed,Araneae,spiders,Linyphiidae,sheetweb & dwarf spiders
house.bed.Araneae (spiders).Lycosidae (wolf spiders),6,bed,Araneae,spiders,Lycosidae,wolf spiders
house.bed.Araneae (spiders).Miturgidae (prowling spiders),2,bed,Araneae,spiders,Miturgidae,prowling spiders
house.bed.Araneae (spiders).Oecobiidae (wall spiders),16,bed,Araneae,spiders,Oecobiidae,wall spiders
house.bed.Araneae (spiders).Oonopidae (goblin spiders),6,bed,Araneae,spiders,Oonopidae,goblin spiders
house.bed.Araneae (spiders).Pholcidae (cellar spiders),31,bed,Araneae,spiders,Pholcidae,cellar spiders
house.bed.Araneae (spiders).Salticidae (jumping spider),16,bed,Araneae,spiders,Salticidae,jumping spider
house.bed.Araneae (spiders).Scytodidae (spitting spider),4,bed,Araneae,spiders,Scytodidae,spitting spider
house.bed.Araneae (spiders).Segestriidae (tube web spiders),1,bed,Araneae,spiders,Segestriidae,tube web spiders
house.bed.Araneae (spiders).Theridiidae (cobweb spiders),180,bed,Araneae,spiders,Theridiidae,cobweb spiders
house.bed.Araneae (spiders).Thomisidae (crab spiders),7,bed,Araneae,spiders,Thomisidae,crab spiders
house.bed.Araneae (spiders).Un ID family,25,bed,Araneae,spiders,Un ID family,
house.bed.Blattodea (cockroaches),,bed,Blattodea,cockroaches,,
house.bed.Blattodea (cockroaches).Blattellidae (cockroaches),6,bed,Blattodea,cockroaches,Blattellidae,cockroaches
house.bed.Blattodea (cockroaches).Blattidae (cockroaches),40,bed,Blattodea,cockroaches,Blattidae,cockroaches
house.bed.Blattodea (cockroaches).Un ID family,4,bed,Blattodea,cockroaches,Un ID family,
house.bed.Callipodida (crested millipedes),,bed,Callipodida,crested millipedes,,
house.bed.Callipodida (crested millipedes).Abacionidae (millipedes),4,bed,Callipodida,crested millipedes,Abacionidae,millipedes
house.bed.Coleoptera (beetles),,bed,Coleoptera,beetles,,
house.bed.Coleoptera (beetles).Aderidae (antlike leaf beetles),5,bed,Coleoptera,beetles,Aderidae,antlike leaf beetles
house.bed.Coleoptera (beetles).Anobiidae (death watch beetles),20,bed,Coleoptera,beetles,Anobiidae,death watch beetles
house.bed.Coleoptera (beetles).Anthicidae (antlike flower beetles),4,bed,Coleoptera,beetles,Anthicidae,antlike flower beetles
house.bed.Coleoptera (beetles).Anthribidae (fungus weevils),1,bed,Coleoptera,beetles,Anthribidae,fungus weevils
house.bed.Coleoptera (beetles).Buprestidae (metallic wood-boring beetles),1,bed,Coleoptera,beetles,Buprestidae,metallic wood-boring beetles
house.bed.Coleoptera (beetles).Cantharidae (soldier beetles),1,bed,Coleoptera,beetles,Cantharidae,soldier beetles
house.bed.Coleoptera (beetles).Carabidae (ground beetles),14,bed,Coleoptera,beetles,Carabidae,ground beetles
house.bed.Coleoptera (beetles).Cerambycidae (longhorned beetles),6,bed,Coleoptera,beetles,Cerambycidae,longhorned beetles
house.bed.Coleoptera (beetles).Chrysomelidae (leaf beetles),13,bed,Coleoptera,beetles,Chrysomelidae,leaf beetles
house.bed.Coleoptera (beetles).Cleridae (checkered beetles),5,bed,Coleoptera,beetles,Cleridae,checkered beetles
house.bed.Coleoptera (beetles).Coccinellidae (ladybugs),15,bed,Coleoptera,beetles,Coccinellidae,ladybugs
house.bed.Coleoptera (beetles).Cryptophagidae (silken fungus beetles),4,bed,Coleoptera,beetles,Cryptophagidae,silken fungus beetles
