id,room,order,order_common,family,family_common,value,absent,room_total,order_room_total
"house.bath.Araneae (spiders).Corinnidae (antmimics, ground spiders)",bath,Araneae,spiders,Corinnidae,"antmimics, ground spiders",2,144,146,100
house.bath.Araneae (spiders).Ctenidae (wandering spiders),bath,Araneae,spiders,Ctenidae,wandering spiders,1,145,146,100
house.bath.Araneae (spiders).Filistatidae (crevice weavers),bath,Araneae,spiders,Filistatidae,crevice weavers,1,145,146,100
house.bath.Araneae (spiders).Gnaphosidae (ground spiders),bath,Araneae,spiders,Gnaphosidae,ground spiders,5,141,146,100
house.bath.Araneae (spiders).Lycosidae (wolf spiders),bath,Araneae,spiders,Lycosidae,wolf spiders,3,143,146,100
house.bath.Araneae (spiders).Mimetidae (pirate spiders),bath,Araneae,spiders,Mimetidae,pirate spiders,1,145,146,100
house.bath.Araneae (spiders).Oecobiidae (wall spiders),bath,Araneae,spiders,Oecobiidae,wall spiders,9,137,146,100
house.bath.Araneae (spiders).Oonopidae (goblin spiders),bath,Araneae,spiders,Oonopidae,goblin spiders,3,143,146,100
house.bath.Araneae (spiders).Oxyopidae (Lynx spiders),bath,Araneae,spiders,Oxyopidae,Lynx spiders,2,144,146,100
house.bath.Araneae (spiders).Pholcidae (cellar spiders),bath,Araneae,spiders,Pholcidae,cellar spiders,28,118,146,100
house.bath.Araneae (spiders).Salticidae (jumping spider),bath,Araneae,spiders,Salticidae,jumping spider,4,142,146,100
house.bath.Araneae (spiders).Scytodidae (spitting spider),bath,Araneae,spiders,Scytodidae,spitting spider,5,141,146,100
house.bath.Araneae (spiders).Theridiidae (cobweb spiders),bath,Araneae,spiders,Theridiidae,cobweb spiders,81,65,146,100
house.bath.Araneae (spiders).Un ID family,bath,Araneae,spiders,Un ID family,,4,142,146,100
house.bath.Blattodea (cockroaches).Blattellidae (cockroaches),bath,Blattodea,cockroaches,Blattellidae,cockroaches,3,143,146,21
house.bath.Blattodea (cockroaches).Blattidae (cockroaches),bath,Blattodea,cockroaches,Blattidae,cockroaches,18,128,146,21
house.bath.Coleoptera (beetles).Aderidae (antlike leaf beetles),bath,Coleoptera,beetles,Aderidae,antlike leaf beetles,1,145,146,79
house.bath.Coleoptera (beetles).Anobiidae (death watch beetles),bath,Coleoptera,beetles,Anobiidae,death watch beetles,8,138,146,79
house.bath.Coleoptera (beetles).Anthicidae (antlike flower beetles),bath,Coleoptera,beetles,Anthicidae,antlike flower beetles,1,145,146,79
house.bath.Coleoptera (beetles).Carabidae (ground beetles),bath,Coleoptera,beetles,Carabidae,ground beetles,6,140,146,79
house.bath.Coleoptera (beetles).Cerambycidae (longhorned beetles),bath,Coleoptera,beetles,Cerambycidae,longhorned beetles,1,145,146,79
house.bath.Coleoptera (beetles).Chrysomelidae (leaf beetles),bath,Coleoptera,beetles,Chrysomelidae,leaf beetles,2,144,146,79
house.bath.Coleoptera (beetles).Cleridae (checkered beetles),bath,Coleoptera,beetles,Cleridae,checkered beetles,2,144,146,79
house.bath.Coleoptera (beetles).Coccinellidae (ladybugs),bath,Coleoptera,beetles,Coccinellidae,ladybugs,1,145,146,79
house.bath.Coleoptera (beetles).Curculionidae (snout & bark beetles),bath,Coleoptera,beetles,Curculionidae,snout & bark beetles,14,132,146,79
house.bath.Coleoptera (beetles).Dermestidae (carpet beetles),bath,Coleoptera,beetles,Dermestidae,carpet beetles,65,81,146,79
house.bath.Coleoptera (beetles).Elateridae (click beetles),bath,Coleoptera,beetles,Elateridae,click beetles,8,138,146,79
house.bath.Coleoptera (beetles).Histeridae (clown beetles),bath,Coleoptera,beetles,Histeridae,clown beetles,1,145,146,79
house.bath.Coleoptera (beetles).Laemophloeidae (lined flat bark beetles),bath,Coleoptera,beetles,Laemophloeidae,lined flat bark beetles,2,144,146,79
house.bath.Coleoptera (beetles).Latridiidae (minute brown scavenger beetles),bath,Coleoptera,beetles,Latridiidae,minute brown scavenger beetles,2,144,146,79
house.bath.Coleoptera (beetles).Melyridae (soft winged flower beetles),bath,Coleoptera,beetles,Melyridae,soft winged flower beetles,4,142,146,79
house.bath.Coleoptera (beetles).Mordellidae (tumbling flower beetles),bath,Coleoptera,beetles,Mordellidae,tumbling flower beetles,1,145,146,79
house.bath.Coleoptera (beetles).Ptilodactylidae (toe winged beetles),bath,Coleoptera,beetles,Ptilodactylidae,toe winged beetles,3,143,146,79
house.bath.Coleoptera (beetles).Scarabaeidae (scarab beetles),bath,Coleoptera,beetles,Scarabaeidae,scarab beetles,4,142,146,79
house.bath.Coleoptera (beetles).Scraptiidae (false flower beetles),bath,Coleoptera,beetles,Scraptiidae,false flower beetles,1,145,146,79
house.bath.Coleoptera (beetles).Silvanidae (flat bark beetles),bath,Coleoptera,beetles,Silvanidae,flat bark beetles,3,143,146,79
house.bath.Coleoptera (beetles).Staphylinidae (rove beetles),bath,Coleoptera,beetles,Staphylinidae,rove beetles,7,139,146,79
house.bath.Coleoptera (beetles).Tenebrionidae (darkling beetles),bath,Coleoptera,beetles,Tenebrionidae,darkling beetles,7,139,146,79
house.bath.Coleoptera (beetles).Tetratomidae (polypore fungus beetles),bath,Coleoptera,beetles,Tetratomidae,polypore fungus beetles,1,145,146,79
house.bath.Coleoptera (beetles).Throscidae (false metallic wood boring beetles),bath,Coleoptera,beetles,Throscidae,false metallic wood boring beetles,1,145,146,79
house.bath.Coleoptera (beetles).Trogossitidae (bark gnawing beetles),bath,Coleoptera,beetles,Trogossitidae,bark gnawing beetles,1,145,146,79
house.bath.Coleoptera (beetles).Un ID family,bath,Coleoptera,beetles,Un ID family,,1,145,146,79
house.bath.Collembola (springtails).Entomobryidae (slender springtails),bath,Collembola,springtails,Entomobryidae,slender springtails,22,124,146,23
house.bath.Collembola (springtails).Hypogastruridae (springtails),bath,Collembola,springtails,Hypogastruridae,springtails,2,144,146,23
house.bath.Collembola (springtails).Isotomidae (elongate springtails),bath,Collembola,springtails,Isotomidae,elongate springtails,1,145,146,23
house.bath.Collembola (springtails).Tomoceridae (elongate bodied springtails),bath,Collembola,springtails,Tomoceridae,elongate bodied springtails,1,145,146,23
house.bath.Dermaptera (earwigs).Anisolabididae (earwigs),bath,Dermaptera,earwigs,Anisolabididae,earwigs,4,142,146,6
house.bath.Dermaptera (earwigs).Forficulidae (earwigs),bath,Dermaptera,earwigs,Forficulidae,earwigs,2,144,146,6
house.bath.Dermaptera (earwigs).Spongiphoridae (little earwigs),bath,Dermaptera,earwigs,Spongiphoridae,little earwigs,1,145,146,6
house.bath.Diptera (flies).Agromyzidae (leaf miner flies),bath,Diptera,flies,Agromyzidae,leaf miner flies,1,145,146,97
"house.bath.Diptera (flies).Bibionidae (march flies, lovebugs)",bath,Diptera,flies,Bibionidae,"march flies, lovebugs",1,145,146,97
house.bath.Diptera (flies).Calliphoridae (blow flies),bath,Diptera,flies,Calliphoridae,blow flies,4,142,146,97
house.bath.Diptera (flies).Cecidomyiidae (gall midges),bath,Diptera,flies,Cecidomyiidae,gall midges,44,102,146,97
house.bath.Diptera (flies).Ceratopogonidae (biting midges),bath,Diptera,flies,Ceratopogonidae,biting midges,5,141,146,97
house.bath.Diptera (flies).Chaoboridae (phantom midges),bath,Diptera,flies,Chaoboridae,phantom midges,5,141,146,97
house.bath.Diptera (flies).Chironomidae (non biting midges),bath,Diptera,flies,Chironomidae,non biting midges,13,133,146,97
house.bath.Diptera (flies).Chloropidae (frit flies),bath,Diptera,flies,Chloropidae,frit flies,5,141,146,97
house.bath.Diptera (flies).Culicidae (mosquitoes),bath,Diptera,flies,Culicidae,mosquitoes,11,135,146,97
house.bath.Diptera (flies).Dolichopodidae (longlegged flies),bath,Diptera,flies,Dolichopodidae,longlegged flies,4,142,146,97
"house.bath.Diptera (flies).Drosophilidae (fruit flies, vinegar flies)",bath,Diptera,flies,Drosophilidae,"fruit flies, vinegar flies",7,139,146,97
house.bath.Diptera (flies).Empididae (dance flies),bath,Diptera,flies,Empididae,dance flies,1,145,146,97
house.bath.Diptera (flies).Ephydridae (shore flies),bath,Diptera,flies,Ephydridae,shore flies,2,144,146,97
house.bath.Diptera (flies).Fanniidae (Calyptrate flies),bath,Diptera,flies,Fanniidae,Calyptrate flies,1,145,146,97
house.bath.Diptera (flies).Lauxaniidae (acalyptrate flies),bath,Diptera,flies,Lauxaniidae,acalyptrate flies,1,145,146,97
house.bath.Diptera (flies).Milichiidae (freeloader flies),bath,Diptera,flies,Milichiidae,freeloader flies,1,145,146,97
house.bath.Diptera (flies).Muscidae (house flies),bath,Diptera,flies,Muscidae,house flies,2,144,146,97
house.bath.Diptera (flies).Mycetophilidae (fungus gnats),bath,Diptera,flies,Mycetophilidae,fungus gnats,12,134,146,97
house.bath.Diptera (flies).Phoridae (scuttle flies),bath,Diptera,flies,Phoridae,scuttle flies,9,137,146,97
house.bath.Diptera (flies).Psychodidae (sand & moth flies),bath,Diptera,flies,Psychodidae,sand & moth flies,21,125,146,97
house.bath.Diptera (flies).Rhinophoridae (woodlouse flies),bath,Diptera,flies,Rhinophoridae,woodlouse flies,1,145,146,97
house.bath.Diptera (flies).Sarcophagidae (flesh flies),bath,Diptera,flies,Sarcophagidae,flesh flies,4,142,146,97
house.bath.Diptera (flies).Scatopsidae (minute black scavenger flies),bath,Diptera,flies,Scatopsidae,minute black scavenger flies,8,138,146,97
house.bath.Diptera (flies).Sciaridae (dark winged fungus gnats),bath,Diptera,flies,Sciaridae,dark winged fungus gnats,52,94,146,97
house.bath.Diptera (flies).Sepsidae (black scavenger flies),bath,Diptera,flies,Sepsidae,black scavenger flies,1,145,146,97
house.bath.Diptera (flies).Sphaeroceridae (lesser dung flies),bath,Diptera,flies,Sphaeroceridae,lesser dung flies,3,143,146,97
house.bath.Diptera (flies).Stratiomyidae (soldier flies),bath,Diptera,flies,Stratiomyidae,soldier flies,1,145,146,97
house.bath.Diptera (flies).Tipulidae (large crane flies),bath,Diptera,flies,Tipulidae,large crane flies,16,130,146,97
house.bath.Diptera (flies).Trichoceridae (winter crane flies),bath,Diptera,flies,Trichoceridae,winter crane flies,3,143,146,97
house.bath.Diptera (flies).Un ID family,bath,Diptera,flies,Un ID family,,3,143,146,97
house.bath.Hemiptera (true bugs).Aleyrodidae (whiteflies),bath,Hemiptera,true bugs,Aleyrodidae,whiteflies,1,145,146,27
house.bath.Hemiptera (true bugs).Anthocoridae (minute pirate bugs),bath,Hemiptera,true bugs,Anthocoridae,minute pirate bugs,4,142,146,27
house.bath.Hemiptera (true bugs).Aphididae (aphids),bath,Hemiptera,true bugs,Aphididae,aphids,2,144,146,27
house.bath.Hemiptera (true bugs).Cicadellidae (leafhoppers),bath,Hemiptera,true bugs,Cicadellidae,leafhoppers,13,133,146,27
"house.bath.Hemiptera (true bugs).Coccoidea (scales, mealybugs)",bath,Hemiptera,true bugs,Coccoidea,"scales, mealybugs",1,145,146,27
house.bath.Hemiptera (true bugs).Cydnidae (burrowing bugs),bath,Hemiptera,true bugs,Cydnidae,burrowing bugs,2,144,146,27
house.bath.Hemiptera (true bugs).Delphacidae (Delphacid planthoppers),bath,Hemiptera,true bugs,Delphacidae,Delphacid planthoppers,2,144,146,27
house.bath.Hemiptera (true bugs).Derbidae (derbid planthopppers),bath,Hemiptera,true bugs,Derbidae,derbid planthopppers,1,145,146,27
house.bath.Hemiptera (true bugs).Flatidae (flatid planthoppers),bath,Hemiptera,true bugs,Flatidae,flatid planthoppers,1,145,146,27
house.bath.Hemiptera (true bugs).Lasiochilidae (minute pirate bugs),bath,Hemiptera,true bugs,Lasiochilidae,minute pirate bugs,1,145,146,27
house.bath.Hemiptera (true bugs).Lygaeidae (seed bugs),bath,Hemiptera,true bugs,Lygaeidae,seed bugs,1,145,146,27
house.bath.Hemiptera (true bugs).Miridae (plant bugs),bath,Hemiptera,true bugs,Miridae,plant bugs,3,143,146,27
house.bath.Hemiptera (true bugs).Phylloxeridae (plant parasitic hemipterans),bath,Hemiptera,true bugs,Phylloxeridae,plant parasitic hemipterans,1,145,146,27
house.bath.Hemiptera (true bugs).Psyllidae (jumping plant lice),bath,Hemiptera,true bugs,Psyllidae,jumping plant lice,1,145,146,27
house.bath.Hemiptera (true bugs).Rhyparochromidae (dirt colored seed bugs),bath,Hemiptera,true bugs,Rhyparochromidae,dirt colored seed bugs,6,140,146,27
house.bath.Hemiptera (true bugs).Tingidae (lace bugs),bath,Hemiptera,true bugs,Tingidae,lace bugs,2,144,146,27
"house.bath.Hymenoptera (bees, wasps, ants).Anthophila (Apoidea) (bees)",bath,Hymenoptera,"bees, wasps, ants",Anthophila,Apoidea,2,144,146,74
"house.bath.Hymenoptera (bees, wasps, ants).Apidae (bees)",bath,Hymenoptera,"bees, wasps, ants",Apidae,bees,1,145,146,74
"house.bath.Hymenoptera (bees, wasps, ants).Bethylidae (cuckoo wasps)",bath,Hymenoptera,"bees, wasps, ants",Bethylidae,cuckoo wasps,1,145,146,74
"house.bath.Hymenoptera (bees, wasps, ants).Braconidae (parasitoid wasps)",bath,Hymenoptera,"bees, wasps, ants",Braconidae,parasitoid wasps,6,140,146,74
"house.bath.Hymenoptera (bees, wasps, ants).Chalcididae (Chalcid wasps)",bath,Hymenoptera,"bees, wasps, ants",Chalcididae,Chalcid wasps,1,145,146,74
"house.bath.Hymenoptera (bees, wasps, ants).Eulophidae (chalcid wasps)",bath,Hymenoptera,"bees, wasps, ants",Eulophidae,chalcid wasps,19,127,146,74
"house.bath.Hymenoptera (bees, wasps, ants).Eupelmidae (chalcid wasps)",bath,Hymenoptera,"bees, wasps, ants",Eupelmidae,chalcid wasps,1,145,146,74
"house.bath.Hymenoptera (bees, wasps, ants).Formicidae (ants)",bath,Hymenoptera,"bees, wasps, ants",Formicidae,ants,61,85,146,74
"house.bath.Hymenoptera (bees, wasps, ants).Halictidae (sweat bees)",bath,Hymenoptera,"bees, wasps, ants",Halictidae,sweat bees,1,145,146,74
"house.bath.Hymenoptera (bees, wasps, ants).Ichneumonidae (scorpion wasps)",bath,Hymenoptera,"bees, wasps, ants",Ichneumonidae,scorpion wasps,2,144,146,74
"house.bath.Hymenoptera (bees, wasps, ants).Mutillidae (velvet ants)",bath,Hymenoptera,"bees, wasps, ants",Mutillidae,velvet ants,2,144,146,74
"house.bath.Hymenoptera (bees, wasps, ants).Mymaridae (fairyflies)",bath,Hymenoptera,"bees, wasps, ants",Mymaridae,fairyflies,1,145,146,74
"house.bath.Hymenoptera (bees, wasps, ants).Platygastridae (parasitic wasps)",bath,Hymenoptera,"bees, wasps, ants",Platygastridae,parasitic wasps,9,137,146,74
"house.bath.Hymenoptera (bees, wasps, ants).Platygastridae (parasitic wasps) (parasitoid wasps)",bath,Hymenoptera,"bees, wasps, ants",Platygastridae,parasitic wasps,1,145,146,74
"house.bath.Hymenoptera (bees, wasps, ants).Pompilidae (spider wasps)",bath,Hymenoptera,"bees, wasps, ants",Pompilidae,spider wasps,4,142,146,74
"house.bath.Hymenoptera (bees, wasps, ants).Pteromalidae (Pteromalid wasps)",bath,Hymenoptera,"bees, wasps, ants",Pteromalidae,Pteromalid wasps,3,143,146,74
"house.bath.Hymenoptera (bees, wasps, ants).Sphecidae (thread-waisted wasps)",bath,Hymenoptera,"bees, wasps, ants",Sphecidae,thread-waisted wasps,4,142,146,74
"house.bath.Hymenoptera (bees, wasps, ants).Xyelidae (saw flies)",bath,Hymenoptera,"bees, wasps, ants",Xyelidae,saw flies,1,145,146,74
"house.bath.Isopoda (woodlice, pillbugs, roly-poly's).Armadillidiidae (pillbugs)",bath,Isopoda,"woodlice, pillbugs, roly-poly's",Armadillidiidae,pillbugs,20,126,146,21
"house.bath.Isopoda (woodlice, pillbugs, roly-poly's).Porcellionidae (woodlice)",bath,Isopoda,"woodlice, pillbugs, roly-poly's",Porcellionidae,woodlice,2,144,146,21
"house.bath.Isopoda (woodlice, pillbugs, roly-poly's).Un ID family",bath,Isopoda,"woodlice, pillbugs, roly-poly's",Un ID family,,2,144,146,21
house.bath.Isoptera (termites).Rhinotermitidae (subterranean termites),bath,Isoptera,termites,Rhinotermitidae,subterranean termites,2,144,146,2
house.bath.Julida (millipedes).Julidae (millipedes),bath,Julida,millipedes,Julidae,millipedes,3,143,146,3
"house.bath.Lepidoptera (moths, butterflies).Geometridae (geometrid moths)",bath,Lepidoptera,"moths, butterflies",Geometridae,geometrid moths,1,145,146,17
"house.bath.Lepidoptera (moths, butterflies).Noctuidae (owlet moths)",bath,Lepidoptera,"moths, butterflies",Noctuidae,owlet moths,6,140,146,17
"house.bath.Lepidoptera (moths, butterflies).Pyralidae (pyralid moths)",bath,Lepidoptera,"moths, butterflies",Pyralidae,pyralid moths,7,139,146,17
"house.bath.Lepidoptera (moths, butterflies).Tineidae (clothes moths)",bath,Lepidoptera,"moths, butterflies",Tineidae,clothes moths,8,138,146,17
"house.bath.Lepidoptera (moths, butterflies).Tortricidae (leafroller moths)",bath,Lepidoptera,"moths, butterflies",Tortricidae,leafroller moths,1,145,146,17
"house.bath.Lepidoptera (moths, butterflies).Un ID family",bath,Lepidoptera,"moths, butterflies",Un ID family,,1,145,146,17
house.bath.Microcoryphia (bristletails).Machilidae (jumping bristletails),bath,Microcoryphia,bristletails,Machilidae,jumping bristletails,2,144,146,4
house.bath.Microcoryphia (bristletails).Meinertellidae (rock bristletails),bath,Microcoryphia,bristletails,Meinertellidae,rock bristletails,2,144,146,4
house.bath.Neuroptera (lacewings).Chrysopidae (green lacewings),bath,Neuroptera,lacewings,Chrysopidae,green lacewings,2,144,146,4
house.bath.Neuroptera (lacewings).Coniopterygidae (dustywings),bath,Neuroptera,lacewings,Coniopterygidae,dustywings,1,145,146,4
house.bath.Neuroptera (lacewings).Myrmeleontidae (ant lions),bath,Neuroptera,lacewings,Myrmeleontidae,ant lions,1,145,146,4
house.bath.No specimens.No specimens,bath,No specimens,,No specimens,,6,140,146,6
house.bath.Opiliones (harvestmen).Un ID family,bath,Opiliones,harvestmen,Un ID family,,1,145,146,1
"house.bath.Orthoptera (grasshoppers, etc).Gryllidae (crickets)",bath,Orthoptera,"grasshoppers, etc",Gryllidae,crickets,3,143,146,11
"house.bath.Orthoptera (grasshoppers, etc).Rhaphidophoridae (camel crickets)",bath,Orthoptera,"grasshoppers, etc",Rhaphidophoridae,camel crickets,8,138,146,11
house.bath.Plecoptera (stoneflies).Leuctridae (rolled-winged stoneflies),bath,Plecoptera,stoneflies,Leuctridae,rolled-winged stoneflies,1,145,146,1
house.bath.Polydesmida (flat-backed millipedes).Paradoxosomatidae (millipedes),bath,Polydesmida,flat-backed millipedes,Paradoxosomatidae,millipedes,4,142,146,7
house.bath.Polydesmida (flat-backed millipedes).Polydesmidae (flat-backed millipedes),bath,Polydesmida,flat-backed millipedes,Polydesmidae,flat-backed millipedes,2,144,146,7
house.bath.Polydesmida (flat-backed millipedes).Un ID family,bath,Polydesmida,flat-backed millipedes,Un ID family,,1,145,146,7
house.bath.Pseudoscorpiones (pseudoscorpions).Un ID family,bath,Pseudoscorpiones,pseudoscorpions,Un ID family,,1,145,146,1
"house.bath.Psocodea (barklice, booklice, parasitic lice).Lepidopsocidae (scaly winged barklice)",bath,Psocodea,"barklice, booklice, parasitic lice",Lepidopsocidae,scaly winged barklice,1,145,146,46
"house.bath.Psocodea (barklice, booklice, parasitic lice).Liposcelididae (booklice)",bath,Psocodea,"barklice, booklice, parasitic lice",Liposcelididae,booklice,41,105,146,46
"house.bath.Psocodea (barklice, booklice, parasitic lice).Myopsocidae (mouse-like barklice)",bath,Psocodea,"barklice, booklice, parasitic lice",Myopsocidae,mouse-like barklice,1,145,146,46
"house.bath.Psocodea (barklice, booklice, parasitic lice).Stenopsocidae (narrow barklice)",bath,Psocodea,"barklice, booklice, parasitic lice",Stenopsocidae,narrow barklice,1,145,146,46
"house.bath.Psocodea (barklice, booklice, parasitic lice).Un ID family",bath,Psocodea,"barklice, booklice, parasitic lice",Un ID family,,9,137,146,46
house.bath.Scolopendromorpha (tropical centipedes).Scolopendridae (tropical centipedes),bath,Scolopendromorpha,tropical centipedes,Scolopendridae,tropical centipedes,1,145,146,1
house.bath.Scutigeromorpha (house centipedes).Scutigeridae (house centipedes),bath,Scutigeromorpha,house centipedes,Scutigeridae,house centipedes,5,141,146,5
house.bath.Siphonaptera (fleas).Pulicidae (fleas),bath,Siphonaptera,fleas,Pulicidae,fleas,4,142,146,4
house.bath.Spirobolida (round-backed millipedes).Spirobolidae (round-backed millipedes),bath,Spirobolida,round-backed millipedes,Spirobolidae,round-backed millipedes,1,145,146,1
house.bath.Thysanoptera (thrips).Phlaeothripidae (tube tailed thrips),bath,Thysanoptera,thrips,Phlaeothripidae,tube tailed thrips,1,145,146,4
house.bath.Thysanoptera (thrips).Thripidae (thrips),bath,Thysanoptera,thrips,Thripidae,thrips,3,143,146,4
house.bath.Trichoptera (caddisflies).Un ID family,bath,Trichoptera,caddisflies,Un ID family,,1,145,146,1
house.bath.Zygentoma (silverfish).Lepismatidae (silverfish),bath,Zygentoma,silverfish,Lepismatidae,silverfish,22,124,146,22
"house.bed.Acari (mites, ticks).Erythraeidae (mites)",bed,Acari,"mites, ticks",Erythraeidae,mites,1,159,160,28
"house.bed.Acari (mites, ticks).Galumnidae (mites)",bed,Acari,"mites, ticks",Galumnidae,mites,1,159,160,28
"house.bed.Acari (mites, ticks).Ixodidae (hard ticks)",bed,Acari,"mites, ticks",Ixodidae,hard ticks,3,157,160,28
"house.bed.Acari (mites, ticks).Oribatida (moss mites)",bed,Acari,"mites, ticks",Oribatida,moss mites,6,154,160,28
"house.bed.Acari (mites, ticks).Plateremaeidae (ticks)",bed,Acari,"mites, ticks",Plateremaeidae,ticks,1,159,160,28
"house.bed.Acari (mites, ticks).Tetranychidae (spider mites)",bed,Acari,"mites, ticks",Tetranychidae,spider mites,3,157,160,28
"house.bed.Acari (mites, ticks).Trombidiidae (velvet mites)",bed,Acari,"mites, ticks",Trombidiidae,velvet mites,1,159,160,28
"house.bed.Acari (mites, ticks).Un ID family",bed,Acari,"mites, ticks",Un ID family,,19,141,160,28
house.bed.Araneae (spiders).Agelenidae (funnel weavers),bed,Araneae,spiders,Agelenidae,funnel weavers,11,149,160,121
house.bed.Araneae (spiders).Anyphaenidae (ghost spiders),bed,Araneae,spiders,Anyphaenidae,ghost spiders,9,151,160,121
house.bed.Araneae (spiders).Araneidae (orb weavers),bed,Araneae,spiders,Araneidae,orb weavers,2,158,160,121
"house.bed.Araneae (spiders).Corinnidae (antmimics, ground spiders)",bed,Araneae,spiders,Corinnidae,"antmimics, ground spiders",11,149,160,121
"house.bed.Araneae (spiders).Dysderidae (woodlouse hunters, cell spiders)",bed,Araneae,spiders,Dysderidae,"woodlouse hunters, cell spiders",1,159,160,121
house.bed.Araneae (spiders).Gnaphosidae (ground spiders),bed,Araneae,spiders,Gnaphosidae,ground spiders,16,144,160,121
house.bed.Araneae (spiders).Linyphiidae (sheetweb & dwarf spiders),bed,Araneae,spiders,Linyphiidae,sheetweb & dwarf spiders,2,158,160,121
house.bed.Araneae (spiders).Lycosidae (wolf spiders),bed,Araneae,spiders,Lycosidae,wolf spiders,4,156,160,121
house.bed.Araneae (spiders).Miturgidae (prowling spiders),bed,Araneae,spiders,Miturgidae,prowling spiders,2,158,160,121
house.bed.Araneae (spiders).Oecobiidae (wall spiders),bed,Araneae,spiders,Oecobiidae,wall spiders,16,144,160,121
house.bed.Araneae (spiders).Oonopidae (goblin spiders),bed,Araneae,spiders,Oonopidae,goblin spiders,6,154,160,121
house.bed.Araneae (spiders).Pholcidae (cellar spiders),bed,Araneae,spiders,Pholcidae,cellar spiders,29,131,160,121
house.bed.Araneae (spiders).Salticidae (jumping spider),bed,Araneae,spiders,Salticidae,jumping spider,12,148,160,121
house.bed.Araneae (spiders).Scytodidae (spitting spider),bed,Araneae,spiders,Scytodidae,spitting spider,4,156,160,121
house.bed.Araneae (spiders).Segestriidae (tube web spiders),bed,Araneae,spiders,Segestriidae,tube web spiders,1,159,160,121
house.bed.Araneae (spiders).Theridiidae (cobweb spiders),bed,Araneae,spiders,Theridiidae,cobweb spiders,98,62,160,121
house.bed.Araneae (spiders).Thomisidae (crab spiders),bed,Araneae,spiders,Thomisidae,crab spiders,7,153,160,121
house.bed.Araneae (spiders).Un ID family,bed,Araneae,spiders,Un ID family,,21,139,160,121
house.bed.Blattodea (cockroaches).Blattellidae (cockroaches),bed,Blattodea,cockroaches,Blattellidae,cockroaches,6,154,160,42
house.bed.Blattodea (cockroaches).Blattidae (cockroaches),bed,Blattodea,cockroaches,Blattidae,cockroaches,36,124,160,42
house.bed.Blattodea (cockroaches).Un ID family,bed,Blattodea,cockroaches,Un ID family,,3,157,160,42
house.bed.Callipodida (crested millipedes).Abacionidae (millipedes),bed,Callipodida,crested millipedes,Abacionidae,millipedes,4,156,160,4
house.bed.Coleoptera (beetles).Aderidae (antlike leaf beetles),bed,Coleoptera,beetles,Aderidae,antlike leaf beetles,5,155,160,135
house.bed.Coleoptera (beetles).Anobiidae (death watch beetles),bed,Coleoptera,beetles,Anobiidae,death watch beetles,17,143,160,135
house.bed.Coleoptera (beetles).Anthicidae (antlike flower beetles),bed,Coleoptera,beetles,Anthicidae,antlike flower beetles,3,157,160,135
house.bed.Coleoptera (beetles).Anthribidae (fungus weevils),bed,Coleoptera,beetles,Anthribidae,fungus weevils,1,159,160,135
house.bed.Coleoptera (beetles).Buprestidae (metallic wood-boring beetles),bed,Coleoptera,beetles,Buprestidae,metallic wood-boring beetles,1,159,160,135
house.bed.Coleoptera (beetles).Cantharidae (soldier beetles),bed,Coleoptera,beetles,Cantharidae,soldier beetles,1,159,160,135
house.bed.Coleoptera (beetles).Carabidae (ground beetles),bed,Coleoptera,beetles,Carabidae,ground beetles,11,149,160,135
house.bed.Coleoptera (beetles).Cerambycidae (longhorned beetles),bed,Coleoptera,beetles,Cerambycidae,longhorned beetles,5,155,160,135
house.bed.Coleoptera (beetles).Chrysomelidae (leaf beetles),bed,Coleoptera,beetles,Chrysomelidae,leaf beetles,13,147,160,135
house.bed.Coleoptera (beetles).Cleridae (checkered beetles),bed,Coleoptera,beetles,Cleridae,checkered beetles,5,155,160,135
house.bed.Coleoptera (beetles).Coccinellidae (ladybugs),bed,Coleoptera,beetles,Coccinellidae,ladybugs,14,146,160,135
house.bed.Coleoptera (beetles).Cryptophagidae (silken fungus beetles),bed,Coleoptera,beetles,Cryptophagidae,silken fungus beetles,4,156,160,135
house.bed.Coleoptera (beetles).Cupedidae (reticulated beetles),bed,Coleoptera,beetles,Cupedidae,reticulated beetles,1,159,160,135
house.bed.Coleoptera (beetles).Curculionidae (snout & bark beetles),bed,Coleoptera,beetles,Curculionidae,snout & bark beetles,26,134,160,135
house.bed.Coleoptera (beetles).Dermestidae (carpet beetles),bed,Coleoptera,beetles,Dermestidae,carpet beetles,114,46,160,135
house.bed.Coleoptera (beetles).Elateridae (click beetles),bed,Coleoptera,beetles,Elateridae,click beetles,20,140,160,135
house.bed.Coleoptera (beetles).Erotylidae (pleasing fungus beetles),bed,Coleoptera,beetles,Erotylidae,pleasing fungus beetles,2,158,160,135
house.bed.Coleoptera (beetles).Eucinetidae (plate-thigh beetles),bed,Coleoptera,beetles,Eucinetidae,plate-thigh beetles,1,159,160,135
house.bed.Coleoptera (beetles).Histeridae (clown beetles),bed,Coleoptera,beetles,Histeridae,clown beetles,1,159,160,135
house.bed.Coleoptera (beetles).Lampyridae (fireflies),bed,Coleoptera,beetles,Lampyridae,fireflies,2,158,160,135
house.bed.Coleoptera (beetles).Latridiidae (minute brown scavenger beetles),bed,Coleoptera,beetles,Latridiidae,minute brown scavenger beetles,9,151,160,135
house.bed.Coleoptera (beetles).Lucanidae (stag beetles),bed,Coleoptera,beetles,Lucanidae,stag beetles,1,159,160,135
